uid,title,description,url,audio_url,image_url,collection,vendor,vendor_identifier
aee79528-ba6b-47c2-8f0a-a1f8c379ebbb,cy_audio_news_chunk_13_16,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_16.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_16.vtt
a8534de8-501d-4f52-89fc-79b54fba9f3c,cy_audio_news_chunk_13_17,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_17.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_17.vtt
47c8ff89-d0f7-4f14-a302-ae78ae8e8742,cy_audio_news_chunk_13_18,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_18.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_18.vtt
f508e403-d4d0-4ce3-9662-7522f53cf5c6,cy_audio_news_chunk_13_19,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_19.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_19.vtt
2c582a95-fd5b-4736-8685-30f070d4627d,cy_audio_news_chunk_13_2,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_2.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_2.vtt
43a290d5-eb23-4523-a702-bee0a0385af9,cy_audio_news_chunk_13_3,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_3.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_3.vtt
a133e90e-91d7-40a5-aa9a-a8161f1f2013,cy_audio_news_chunk_13_4,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_4.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_4.vtt
d6c6c8fd-8694-4018-aab2-bed33220a453,cy_audio_news_chunk_13_5,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_5.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_5.vtt
4869539c-bfc9-4d30-9e8a-7415bb2ece5c,cy_audio_news_chunk_13_6,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_6.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_6.vtt
117aceee-1073-49d9-a257-58e47a0c476d,cy_audio_news_chunk_13_7,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_7.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_7.vtt
8b9ee951-2db9-4dc9-9716-4791dacdf1df,cy_audio_news_chunk_13_8,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_8.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_8.vtt
5092c3cf-b2fc-4057-8155-7787f6e4f005,cy_audio_news_chunk_13_9,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_9.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_9.vtt
059d47b0-214e-4532-b76c-628cd2871263,cy_audio_news_chunk_14_1,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_14_1.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_14_1.vtt
f8f3c290-7291-4c2b-8bdc-aa1f75366b0b,cy_audio_news_chunk_14_10,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_14_10.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_14_10.vtt
f28778fe-e011-472a-b764-f739e0a44455,cy_audio_news_chunk_14_2,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_14_2.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_14_2.vtt
d072f936-97ec-4e2f-8e7a-b6db2ef9e1aa,cy_audio_news_chunk_14_3,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_14_3.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_14_3.vtt
62fdb00b-8acb-4a3b-bf59-18f3a0f8dce6,cy_audio_news_chunk_14_4,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_14_4.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_14_4.vtt
2fdcb85e-8def-4a2d-90ac-17efbbac804b,cy_audio_news_chunk_14_5,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_14_5.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_14_5.vtt
b5718340-4846-4161-b775-b0f383d3dec8,cy_audio_news_chunk_14_6,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_14_6.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_14_6.vtt
